Display,Topic,Type,Answer Type,PMI System,PMI Code,Parent code,Date of Last Update
Depression,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_Depression,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Drug use disorder,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_DrugUse,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Schizophrenia,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_Schizophrenia,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Amyotrophic lateral sclerosis (Lou Gehrig’s disease),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_AmyotrophicLateralSclerosis,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
"Dementia (includes Alzheimer's, vascular, etc.)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_Dementia,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Epilepsy/seizure,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_EpilepsySeizure,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Insomnia,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_Insomnia,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Migraine headaches,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_MigraineHeadaches,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Multiple sclerosis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_MultipleSclerosis,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Muscular dystrophy,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_MuscularDystrophy,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Narcolepsy,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_Narcolepsy,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Neuropathy,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_Neuropathy,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Other types of headaches,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_OtherHeadaches,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Parkinson's disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_Parkinsons,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Restless legs syndrome,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentNervousCondition_RestlessLegsSyndrome,DiagnosedHealthCondition_GrandparentNervousCondition,4/24/2017
Allergies or hay fever,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_Allergies,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Anemia (low number of red blood cells),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_Anemia,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Endometriosis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_Endometriosis,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Fibroids,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_Fibroids,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Hearing loss,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_HearingLoss,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_LiverCondition,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Obesity,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_Obesity,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Other,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_OtherCondition,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Polycystic Ovarian Syndrome,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_PolycysticOvarianSyndrome,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Reactions to anesthesia (such as hyperthermia),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_ReactionsToAnesthesia,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
"Sickle cell disease, sickle cell trait, thalassemia",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_SickleCell,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
"Skin condition (e.g., eczema, psoriasis)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentOtherHealthCondition_SkinCondition,DiagnosedHealthCondition_GrandparentOtherHealthCondition,4/24/2017
Asthma,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentRespiratoryCondition_Asthma,DiagnosedHealthCondition_GrandparentRespiratoryCondition,4/24/2017
"Chronic lung disease (COPD, emphysema or bronchitis)",Grandparent History,Answer,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentRespiratoryCondition_ChronicLungDisease,DiagnosedHealthCondition_GrandparentRespiratoryCondition,4/24/2017
Sleep apnea,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentRespiratoryCondition_SleepApnea,DiagnosedHealthCondition_GrandparentRespiratoryCondition,4/24/2017
Fibromyalgia,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_Fibromyalgia,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Gout,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_Gout,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Osteoarthritis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_Osteoarthritis,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Osteoporosis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_Osteoporosis,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Pseudogout,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_Pseudogout,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Rheumatoid arthritis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_RheumatoidArthritis,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Spine muscle or bone disorders,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_SpineMuscleBone,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Systemic Lupus,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentSkeletalMuscularCondition_SystemicLupus,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,4/24/2017
Cataracts,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentVisionCondition_Cataracts,DiagnosedHealthCondition_GrandparentVisionCondition,4/24/2017
Glaucoma,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentVisionCondition_Glaucoma,DiagnosedHealthCondition_GrandparentVisionCondition,4/24/2017
Hearing loss,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentVisionCondition_HearingLoss,DiagnosedHealthCondition_GrandparentVisionCondition,4/24/2017
Macular degeneration,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentVisionCondition_MacularDegeneration,DiagnosedHealthCondition_GrandparentVisionCondition,4/24/2017
"Cancer, other",Grandparent History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherCancer_GrandparentFreeTextBox,GrandparentCancerCondition_OtherCancer,4/24/2017
Other (free text),Grandparent History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherCondition_GrandparentFreeTextBox,GrandparentOtherHealthCondition_OtherCondition,4/24/2017
Peripheral Vascular Disease,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_PeripheralVascularDisease,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Cancer:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherCancerCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Circulatory System Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherCirculatoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Digestive System Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherDigestiveCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Endocrine Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherEndocrineCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Kidney-Related Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherKidneyCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Mental health or substance use conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherMentalCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Brain and nervous system conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherNervousCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Other selection,Parent History,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherNoSelection,FamilyMembersDiagnosed_FatherUpdate,6/29/2018
Other Conditions,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherOtherHealthCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Respiratory Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherRespiratoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
"Bone, joint and muscle conditions:",Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherSkeletalMuscularCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Vision Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_FatherVisionCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Cancer:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherCancerCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Heart Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherCirculatoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Digestive System Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherDigestiveCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Hormone/endocrine conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherEndocrineCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Kidney-Related Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherKidneyCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Mental health or substance use conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherMentalCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Brain and Nervous System Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherNervousCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Other selection,Parent History,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherNoSelection,FamilyMembersDiagnosed_MotherUpdate,6/29/2018
Other Conditions,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherOtherHealthCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Lung Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherRespiratoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
"Bone, joint and muscle conditions:",Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherSkeletalMuscularCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Vision Conditions:,Parent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_MotherVisionCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Parent History,Parent History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory_ParentHistory,FamilyHistory,4/24/2017
Please indicate if your father has ever been diagnosed with the following health conditions and/or health events. Think only of the person you are related to by blood. (select all that apply),Parent History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_FatherUpdate,FamilyHistory,6/29/2018
Please indicate if your mother has ever been diagnosed with the following health conditions and/or health events. Think only of the person you are related to by blood.(select all that apply),Parent History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_MotherUpdate,FamilyHistory,6/29/2018
Bladder cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_BladderCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Blood or soft tissue cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_BloodCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Bone Cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_BoneCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Brain cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_BrainCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Breast cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_BreastCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Cervical cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_CervicalCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Colon cancer/Rectal cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_ColonRectalCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Endocrine Cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_EndocrineCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Endometrial cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_EndometrialCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Esophageal cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_EsophagealCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Eye cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_EyeCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
"Head and neck (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.)",Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_HeadNeckCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Kidney cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_KidneyCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Lung cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_LungCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Other cancer (Please specify: (free text answer)),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_OtherCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Pancreatic cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_PancreaticCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Prostate cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_ProstateCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Skin cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_SkinCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Stomach cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_StomachCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Thyroid cancer,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCancerCondition_ThyroidCancer,DiagnosedHealthCondition_FatherCancerCondition,4/24/2017
Anemia,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_Anemia,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Aortic aneurysm,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_AorticAneurysm,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
"Atrial fibrillation (or a-fib) or atrial flutter (or a-flutter). (These conditions cause irregular, often fast, heart beats that can cause poor blood flow. A-fib and a-flutter are not the same as a heart murmur.)",Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_AtrialFibrilation,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Congestive heart failure,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_CongestiveHeartFailure,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Coronary artery/coronary heart disease (included angina),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_CoronaryArteryHeartDisease,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Heart attack,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_HeartAttack,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Heart Valve Disease,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_HeartValveDisease,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
High blood pressure (Hypertension),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_HighBloodPressure,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
High cholesterol,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_HighCholesterol,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Pulmonary embolism or deep vein thrombosis (DVT),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_PulmonaryEmbolismThrombosis,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Sickle Cell Disease,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_SickleCellDisease,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Stroke,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_Stroke,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
Sudden death,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherCirculatoryCondition_SuddenDeath,DiagnosedHealthCondition_FatherCirculatoryCondition,4/24/2017
No,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDiagnosisHistory_No,ParentHistory_FatherDiagnosisHistory,4/24/2017
"If so, which conditions?",Parent History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDiagnosisHistory_WhichConditions,ParentHistory_FatherDiagnosisHistory,4/24/2017
Yes,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDiagnosisHistory_Yes,ParentHistory_FatherDiagnosisHistory,4/24/2017
Acid reflux/GERD,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_AcidReflux,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Celiac Disease,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_CeliacDisease,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Colon polyps,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_ColonPolyps,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Crohn's disease,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_CrohnsDisease,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Diverticulitis,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_Diverticulitis,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Gall Stones,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_GallStones,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Irritable bowel syndrome (IBS),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_IrritableBowelSyndrome,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_LiverCondition,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Peptic (stomach) ulcers,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_PepticUlcers,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Ulcerative colitis,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherDigestiveCondition_UlcerativeColitis,DiagnosedHealthCondition_FatherDigestiveCondition,4/24/2017
Hyperthyroidism,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherEndocrineCondition_Hyperthyroidism,DiagnosedHealthCondition_FatherEndocrineCondition,4/24/2017
Hypothyroidism,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherEndocrineCondition_Hypothyroidism,DiagnosedHealthCondition_FatherEndocrineCondition,4/24/2017
Other/unknown diabetes (This includes gestational diabetes (diabetes during pregnancy) and borderline diabetes (pre-diabetes).),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherEndocrineCondition_OtherDiabetes,DiagnosedHealthCondition_FatherEndocrineCondition,4/24/2017
Other or unknown thyroid condition,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherEndocrineCondition_OtherThyroidCondition,DiagnosedHealthCondition_FatherEndocrineCondition,4/24/2017
"Type 1 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherEndocrineCondition_Type1Diabetes,DiagnosedHealthCondition_FatherEndocrineCondition,4/24/2017
"Type 2 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherEndocrineCondition_Type2Diabetes,DiagnosedHealthCondition_FatherEndocrineCondition,4/24/2017
Kidney disease,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherKidneyCondition_KidneyDisease,DiagnosedHealthCondition_FatherKidneyCondition,4/24/2017
Kidney stones,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherKidneyCondition_KidneyStones,DiagnosedHealthCondition_FatherKidneyCondition,4/24/2017
Addiction to alcohol or drugs,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_Addiction,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Alcohol use disorder,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_AlcoholUse,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Anxiety reaction/panic disorder,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_AnxietyPanic,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Autsm spectrum disorder,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_Autism,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Bipolar disorder,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_Bipolar,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Depression,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_Depression,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Drug use disorder,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_DrugUse,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Schizophrenia,Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherMentalCondition_Schizophrenia,DiagnosedHealthCondition_FatherMentalCondition,4/24/2017
Amyotrophic lateral sclerosis (Lou Gehrig’s disease),Parent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,FatherNervousCondition_AmyotrophicLateralSclerosis,DiagnosedHealthCondition_FatherNervousCondition,4/24/2017
